Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.500.000.0000;Recursos não vinculados de Impostos;9.612.318,78;11.436.818,98;13.612.331,14;11.548.519,31;17.889.961,68;12.596.228,71;10.365.796,62;12.057.885,36;10.258.830,22;11.272.111,28;13.149.562,37;13.361.332,28;147.161.696,73;11.880.487,56;12.274.962,01;16.421.046,21;18.655.360,70;15.170.857,02;15.249.287,91;14.039.291,83;12.821.535,51;11.547.501,60;12.171.547,35;12.197.380,20;15.624.843,86;168.054.101,76;2.268.168,78;838.143,03;2.808.715,07;7.106.841,39;-2.719.104,66;2.653.059,20;3.673.495,21;763.650,15;1.288.671,38;899.436,07;-952.182,17;2.263.511,58;20.892.405,03
1.500.000.0000;Recursos não vinculados de Impostos;9.612.318,78;11.436.818,98;13.612.331,14;11.548.519,31;17.889.961,68;12.596.228,71;10.365.796,62;12.057.885,36;10.258.830,22;11.272.111,28;13.149.562,37;13.361.332,28;147.161.696,73;11.880.487,56;12.274.962,01;16.421.046,21;18.655.360,70;15.170.857,02;15.249.287,91;14.039.291,83;12.821.535,51;11.547.501,60;12.171.547,35;12.197.380,20;15.624.843,86;168.054.101,76;2.268.168,78;838.143,03;2.808.715,07;7.106.841,39;-2.719.104,66;2.653.059,20;3.673.495,21;763.650,15;1.288.671,38;899.436,07;-952.182,17;2.263.511,58;20.892.405,03
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);2.280.989,66;2.814.763,75;3.312.721,32;2.807.842,03;4.393.415,00;3.071.822,80;2.513.479,11;2.937.695,39;2.485.741,57;2.741.010,55;3.256.152,08;3.314.892,93;35.930.526,19;2.906.068,37;2.899.669,49;3.917.136,08;4.476.510,26;3.557.415,82;3.624.587,48;2.612.445,25;3.032.546,75;2.559.969,42;2.910.601,45;2.944.032,05;3.080.080,43;38.521.062,85;625.078,71;84.905,74;604.414,76;1.668.668,23;-835.999,18;552.764,68;98.966,14;94.851,36;74.227,85;169.590,90;-312.120,03;-234.812,50;2.590.536,66
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);2.280.989,66;2.814.763,75;3.312.721,32;2.807.842,03;4.393.415,00;3.071.822,80;2.513.479,11;2.937.695,39;2.485.741,57;2.741.010,55;3.256.152,08;3.314.892,93;35.930.526,19;2.906.068,37;2.899.669,49;3.917.136,08;4.476.510,26;3.557.415,82;3.624.587,48;2.612.445,25;3.032.546,75;2.559.969,42;2.910.601,45;2.944.032,05;3.080.080,43;38.521.062,85;625.078,71;84.905,74;604.414,76;1.668.668,23;-835.999,18;552.764,68;98.966,14;94.851,36;74.227,85;169.590,90;-312.120,03;-234.812,50;2.590.536,66
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);2.280.989,66;2.814.763,75;3.312.721,32;2.807.842,03;4.393.415,00;3.071.822,80;2.513.479,11;2.937.695,39;2.485.741,57;2.741.010,55;3.256.152,08;3.314.892,93;35.930.526,19;2.906.068,37;2.899.669,49;3.917.136,08;4.476.510,26;3.557.415,82;3.624.587,48;2.612.445,25;3.032.546,75;2.559.969,42;2.910.601,45;2.944.032,05;3.080.080,43;38.521.062,85;625.078,71;84.905,74;604.414,76;1.668.668,23;-835.999,18;552.764,68;98.966,14;94.851,36;74.227,85;169.590,90;-312.120,03;-234.812,50;2.590.536,66
1.501.000.0000;Outros Recursos não Vinculados;956.234,49;969.328,38;958.154,13;996.082,76;1.037.852,20;983.046,14;962.988,10;971.150,92;975.772,82;1.021.591,43;999.569,54;1.012.369,10;11.844.140,01;750.459,12;839.023,71;928.236,83;943.738,66;1.313.859,88;263.395,21;701.384,10;947.069,16;758.203,28;910.056,19;2.875.989,68;850.982,61;12.082.398,43;-205.775,37;-130.304,67;-29.917,30;-52.344,10;276.007,68;-719.650,93;-261.604,00;-24.081,76;-217.569,54;-111.535,24;1.876.420,14;-161.386,49;238.258,42
1.501.000.0000;Outros Recursos não Vinculados;956.234,49;969.328,38;958.154,13;996.082,76;1.037.852,20;983.046,14;962.988,10;971.150,92;975.772,82;1.021.591,43;999.569,54;1.012.369,10;11.844.140,01;750.459,12;839.023,71;928.236,83;943.738,66;1.313.859,88;263.395,21;701.384,10;947.069,16;758.203,28;910.056,19;2.875.989,68;850.982,61;12.082.398,43;-205.775,37;-130.304,67;-29.917,30;-52.344,10;276.007,68;-719.650,93;-261.604,00;-24.081,76;-217.569,54;-111.535,24;1.876.420,14;-161.386,49;238.258,42
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);3.448.450,91;2.933.683,77;3.315.143,60;2.575.734,98;3.662.721,41;2.888.503,25;2.749.566,77;3.586.918,02;2.777.083,69;3.077.590,53;3.610.313,83;2.715.607,53;37.341.318,29;3.499.623,36;2.580.476,38;3.233.996,18;2.868.556,05;3.141.050,69;2.558.941,11;2.320.369,48;2.839.018,84;2.406.107,23;2.792.591,29;2.555.768,51;2.912.746,78;33.709.245,90;51.172,45;-353.207,39;-81.147,42;292.821,07;-521.670,72;-329.562,14;-429.197,29;-747.899,18;-370.976,46;-284.999,24;-1.054.545,32;197.139,25;-3.632.072,39
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);3.448.450,91;2.933.683,77;3.315.143,60;2.575.734,98;3.662.721,41;2.888.503,25;2.749.566,77;3.586.918,02;2.777.083,69;3.077.590,53;3.610.313,83;2.715.607,53;37.341.318,29;3.499.623,36;2.580.476,38;3.233.996,18;2.868.556,05;3.141.050,69;2.558.941,11;2.320.369,48;2.839.018,84;2.406.107,23;2.792.591,29;2.555.768,51;2.912.746,78;33.709.245,90;51.172,45;-353.207,39;-81.147,42;292.821,07;-521.670,72;-329.562,14;-429.197,29;-747.899,18;-370.976,46;-284.999,24;-1.054.545,32;197.139,25;-3.632.072,39
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);3.448.450,91;2.933.683,77;3.315.143,60;2.575.734,98;3.662.721,41;2.888.503,25;2.749.566,77;3.586.918,02;2.777.083,69;3.077.590,53;3.610.313,83;2.715.607,53;37.341.318,29;3.499.623,36;2.580.476,38;3.233.996,18;2.868.556,05;3.141.050,69;2.558.941,11;2.320.369,48;2.839.018,84;2.406.107,23;2.792.591,29;2.555.768,51;2.912.746,78;33.709.245,90;51.172,45;-353.207,39;-81.147,42;292.821,07;-521.670,72;-329.562,14;-429.197,29;-747.899,18;-370.976,46;-284.999,24;-1.054.545,32;197.139,25;-3.632.072,39
