Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.1.1.2.50.0.1.00.00.00;Imposto s/ Propriedade Predial e Territorial Urbana-IPTU;64.471,14;323.478,73;2.699.604,09;10.753.534,69;2.416.301,70;2.291.052,86;2.276.498,86;2.194.569,71;2.246.970,49;2.378.645,83;2.154.820,30;297.429,04;30.097.377,44;128.750,02;194.272,48;436.671,13;3.365.604,07;10.524.058,95;2.551.346,62;2.607.949,65;2.462.484,37;2.589.636,46;2.644.943,44;2.293.131,93;1.972.192,88;31.771.042,00;64.278,88;-129.206,25;-2.262.932,96;-7.387.930,62;8.107.757,25;260.293,76;331.450,79;267.914,66;342.665,97;266.297,61;138.311,63;1.674.763,84;1.673.664,56
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;6.537,94;0,00;13,77;2.522,49;9.886,59;13.164,35;16.796,05;56.802,16;16.783,59;20.825,32;23.588,05;28.515,35;195.435,66;2.541,84;0,00;6,47;46,97;7.451,69;13.872,48;25.536,89;70.425,03;56.205,96;69.699,81;30.634,79;25.093,59;301.515,52;-3.996,10;0,00;-7,30;-2.475,52;-2.434,90;708,13;8.740,84;13.622,87;39.422,37;48.874,49;7.046,74;-3.421,76;106.079,86
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;6.537,94;0,00;13,77;2.522,49;9.886,59;13.164,35;16.796,05;56.802,16;16.783,59;20.825,32;23.588,05;28.515,35;195.435,66;2.541,84;0,00;6,47;46,97;7.451,69;13.872,48;25.536,89;70.425,03;56.205,96;69.699,81;30.634,79;25.093,59;301.515,52;-3.996,10;0,00;-7,30;-2.475,52;-2.434,90;708,13;8.740,84;13.622,87;39.422,37;48.874,49;7.046,74;-3.421,76;106.079,86
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;792.551,12;588.118,37;424.903,04;280.022,44;230.514,43;222.382,52;394.270,78;193.247,58;180.785,01;163.567,75;156.524,21;156.190,85;3.783.078,10;292.027,97;252.747,61;338.707,58;222.591,95;209.994,31;173.919,88;197.575,89;401.918,65;656.137,93;996.357,47;581.842,24;454.646,20;4.778.467,68;-500.523,15;-335.370,76;-86.195,46;-57.430,49;-20.520,12;-48.462,64;-196.694,89;208.671,07;475.352,92;832.789,72;425.318,03;298.455,35;995.389,58
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;792.551,12;588.118,37;424.903,04;280.022,44;230.514,43;222.382,52;394.270,78;193.247,58;180.785,01;163.567,75;156.524,21;156.190,85;3.783.078,10;292.027,97;252.747,61;338.707,58;222.591,95;209.994,31;173.919,88;197.575,89;401.918,65;656.137,93;996.357,47;581.842,24;454.646,20;4.778.467,68;-500.523,15;-335.370,76;-86.195,46;-57.430,49;-20.520,12;-48.462,64;-196.694,89;208.671,07;475.352,92;832.789,72;425.318,03;298.455,35;995.389,58
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;126.793,60;125.927,05;117.663,05;112.359,45;88.958,60;99.070,73;92.151,56;96.301,67;93.345,23;96.213,83;91.271,23;92.120,77;1.232.176,77;139.153,61;124.100,97;136.869,75;107.476,66;107.832,75;90.001,46;58.072,05;69.841,79;70.008,39;146.856,46;149.838,18;74.905,85;1.274.957,92;12.360,01;-1.826,08;19.206,70;-4.882,79;18.874,15;-9.069,27;-34.079,51;-26.459,88;-23.336,84;50.642,63;58.566,95;-17.214,92;42.781,15
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;126.793,60;125.927,05;117.663,05;112.359,45;88.958,60;99.070,73;92.151,56;96.301,67;93.345,23;96.213,83;91.271,23;92.120,77;1.232.176,77;139.153,61;124.100,97;136.869,75;107.476,66;107.832,75;90.001,46;58.072,05;69.841,79;70.008,39;146.856,46;149.838,18;74.905,85;1.274.957,92;12.360,01;-1.826,08;19.206,70;-4.882,79;18.874,15;-9.069,27;-34.079,51;-26.459,88;-23.336,84;50.642,63;58.566,95;-17.214,92;42.781,15
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";432.415,45;339.899,98;400.323,13;267.111,36;382.331,10;450.417,87;420.477,21;551.362,95;537.734,91;534.915,36;301.652,70;469.882,83;5.088.524,85;239.862,71;647.087,99;395.336,84;520.759,10;449.250,89;492.146,77;445.633,52;509.421,44;516.475,15;644.777,06;442.419,69;372.405,28;5.675.576,44;-192.552,74;307.188,01;-4.986,29;253.647,74;66.919,79;41.728,90;25.156,31;-41.941,51;-21.259,76;109.861,70;140.766,99;-97.477,55;587.051,59
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";432.415,45;339.899,98;400.323,13;267.111,36;382.331,10;450.417,87;420.477,21;551.362,95;537.734,91;534.915,36;301.652,70;469.882,83;5.088.524,85;239.862,71;647.087,99;395.336,84;520.759,10;449.250,89;492.146,77;445.633,52;509.421,44;516.475,15;644.777,06;442.419,69;372.405,28;5.675.576,44;-192.552,74;307.188,01;-4.986,29;253.647,74;66.919,79;41.728,90;25.156,31;-41.941,51;-21.259,76;109.861,70;140.766,99;-97.477,55;587.051,59
1.1.1.3.03.1.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;2.635.323,62;2.119.592,90;1.980.989,37;3.234.797,98;1.417.104,31;1.377.711,78;1.435.472,27;1.497.624,21;1.413.613,06;1.417.923,26;1.439.812,02;2.660.828,28;22.630.793,06;1.625.407,18;2.162.591,22;707.536,80;3.123.297,92;514.669,77;1.540.642,52;1.631.899,03;1.683.578,64;1.631.610,90;1.604.106,14;2.321.320,48;4.273.715,50;22.820.376,10;-1.009.916,44;42.998,32;-1.273.452,57;-111.500,06;-902.434,54;162.930,74;196.426,76;185.954,43;217.997,84;186.182,88;881.508,46;1.612.887,22;189.583,04
1.1.1.3.03.1.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;2.635.323,62;2.119.592,90;1.980.989,37;3.234.797,98;1.417.104,31;1.377.711,78;1.435.472,27;1.497.624,21;1.413.613,06;1.417.923,26;1.439.812,02;2.660.828,28;22.630.793,06;1.625.407,18;2.162.591,22;707.536,80;3.123.297,92;514.669,77;1.540.642,52;1.631.899,03;1.683.578,64;1.631.610,90;1.604.106,14;2.321.320,48;4.273.715,50;22.820.376,10;-1.009.916,44;42.998,32;-1.273.452,57;-111.500,06;-902.434,54;162.930,74;196.426,76;185.954,43;217.997,84;186.182,88;881.508,46;1.612.887,22;189.583,04
1.1.1.3.03.4.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal;101.099,20;137.261,13;190.387,76;162.361,53;175.083,96;184.221,01;163.557,13;105.325,46;148.966,11;153.432,50;151.390,25;238.066,51;1.911.152,55;124.758,51;210.444,26;160.210,07;318.470,56;239.885,80;285.885,78;203.337,40;302.560,38;158.485,76;207.808,16;184.901,60;383.364,51;2.780.112,79;23.659,31;73.183,13;-30.177,69;156.109,03;64.801,84;101.664,77;39.780,27;197.234,92;9.519,65;54.375,66;33.511,35;145.298,00;868.960,24
1.1.1.3.03.4.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal;101.099,20;137.261,13;190.387,76;162.361,53;175.083,96;184.221,01;163.557,13;105.325,46;148.966,11;153.432,50;151.390,25;238.066,51;1.911.152,55;124.758,51;210.444,26;160.210,07;318.470,56;239.885,80;285.885,78;203.337,40;302.560,38;158.485,76;207.808,16;184.901,60;383.364,51;2.780.112,79;23.659,31;73.183,13;-30.177,69;156.109,03;64.801,84;101.664,77;39.780,27;197.234,92;9.519,65;54.375,66;33.511,35;145.298,00;868.960,24
1.1.1.4.51.1.1.00.00.00;Imposto sobre Serviços de Qualquer Natureza - ISSQN;2.185.014,44;1.961.773,75;1.995.085,31;2.001.453,21;2.197.723,69;2.307.573,42;2.289.015,92;2.484.041,76;2.415.499,68;2.559.351,66;2.405.789,92;2.532.572,46;27.334.895,22;2.841.311,13;2.523.269,74;2.724.612,82;2.609.262,91;2.934.639,56;3.009.074,54;2.942.475,21;3.068.366,25;2.831.240,02;3.180.586,52;3.208.199,60;3.378.575,05;35.251.613,35;656.296,69;561.495,99;729.527,51;607.809,70;736.915,87;701.501,12;653.459,29;584.324,49;415.740,34;621.234,86;802.409,68;846.002,59;7.916.718,13
1.1.1.4.51.1.1.00.00.00;Imposto sobre Serviços de Qualquer Natureza - ISSQN;2.185.014,44;1.961.773,75;1.995.085,31;2.001.453,21;2.197.723,69;2.307.573,42;2.289.015,92;2.484.041,76;2.415.499,68;2.559.351,66;2.405.789,92;2.532.572,46;27.334.895,22;2.841.311,13;2.523.269,74;2.724.612,82;2.609.262,91;2.934.639,56;3.009.074,54;2.942.475,21;3.068.366,25;2.831.240,02;3.180.586,52;3.208.199,60;3.378.575,05;35.251.613,35;656.296,69;561.495,99;729.527,51;607.809,70;736.915,87;701.501,12;653.459,29;584.324,49;415.740,34;621.234,86;802.409,68;846.002,59;7.916.718,13
1.1.1.4.51.1.2.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Multas e Juros;40.829,47;38.090,48;29.723,90;25.050,01;40.820,41;45.584,44;52.570,69;73.453,41;54.660,63;70.931,58;63.932,63;38.467,52;574.115,17;43.242,55;40.616,69;19.956,96;16.687,49;22.271,95;29.354,16;32.454,17;21.497,37;22.303,52;43.600,24;25.734,84;37.881,82;355.601,76;2.413,08;2.526,21;-9.766,94;-8.362,52;-18.548,46;-16.230,28;-20.116,52;-51.956,04;-32.357,11;-27.331,34;-38.197,79;-585,70;-218.513,41
1.1.1.4.51.1.2.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Multas e Juros;40.829,47;38.090,48;29.723,90;25.050,01;40.820,41;45.584,44;52.570,69;73.453,41;54.660,63;70.931,58;63.932,63;38.467,52;574.115,17;43.242,55;40.616,69;19.956,96;16.687,49;22.271,95;29.354,16;32.454,17;21.497,37;22.303,52;43.600,24;25.734,84;37.881,82;355.601,76;2.413,08;2.526,21;-9.766,94;-8.362,52;-18.548,46;-16.230,28;-20.116,52;-51.956,04;-32.357,11;-27.331,34;-38.197,79;-585,70;-218.513,41
1.1.1.4.51.1.3.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;129.276,22;144.105,64;177.853,90;94.338,37;91.243,53;83.640,42;69.093,18;87.238,38;67.917,41;101.238,18;60.772,48;79.776,33;1.186.494,04;106.985,40;60.523,27;67.188,64;46.914,68;51.459,29;240.400,59;58.640,79;115.893,12;231.480,11;246.359,44;174.375,47;127.469,06;1.527.689,86;-22.290,82;-83.582,37;-110.665,26;-47.423,69;-39.784,24;156.760,17;-10.452,39;28.654,74;163.562,70;145.121,26;113.602,99;47.692,73;341.195,82
1.1.1.4.51.1.3.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;129.276,22;144.105,64;177.853,90;94.338,37;91.243,53;83.640,42;69.093,18;87.238,38;67.917,41;101.238,18;60.772,48;79.776,33;1.186.494,04;106.985,40;60.523,27;67.188,64;46.914,68;51.459,29;240.400,59;58.640,79;115.893,12;231.480,11;246.359,44;174.375,47;127.469,06;1.527.689,86;-22.290,82;-83.582,37;-110.665,26;-47.423,69;-39.784,24;156.760,17;-10.452,39;28.654,74;163.562,70;145.121,26;113.602,99;47.692,73;341.195,82
1.1.1.4.51.1.4.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros;31.671,99;37.649,67;60.689,89;36.368,53;35.179,03;33.601,01;26.818,44;29.241,13;22.451,99;37.117,06;24.977,60;23.299,33;399.065,67;34.559,18;30.041,15;24.318,85;25.569,13;25.933,68;25.959,47;31.417,04;30.476,83;51.565,14;62.534,99;50.445,43;51.712,81;444.533,70;2.887,19;-7.608,52;-36.371,04;-10.799,40;-9.245,35;-7.641,54;4.598,60;1.235,70;29.113,15;25.417,93;25.467,83;28.413,48;45.468,03
1.1.1.4.51.1.4.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros;31.671,99;37.649,67;60.689,89;36.368,53;35.179,03;33.601,01;26.818,44;29.241,13;22.451,99;37.117,06;24.977,60;23.299,33;399.065,67;34.559,18;30.041,15;24.318,85;25.569,13;25.933,68;25.959,47;31.417,04;30.476,83;51.565,14;62.534,99;50.445,43;51.712,81;444.533,70;2.887,19;-7.608,52;-36.371,04;-10.799,40;-9.245,35;-7.641,54;4.598,60;1.235,70;29.113,15;25.417,93;25.467,83;28.413,48;45.468,03
1.1.2.1.01.0.1.01.00.00;Taxa Licença p/ Func. Estab.Com.,Ind.e Prest.Servi;1.571,82;224,91;1.068,05;1.355,99;1.068,35;966,57;2.061,67;1.682,86;20.242,15;93.647,78;42.336,78;46.063,82;212.290,75;3.261,83;3.994,84;9.055,80;12.027,05;20.477,41;9.113,55;13.294,02;17.957,92;47.914,74;955.227,36;419.053,86;384.300,45;1.895.678,83;1.690,01;3.769,93;7.987,75;10.671,06;19.409,06;8.146,98;11.232,35;16.275,06;27.672,59;861.579,58;376.717,08;338.236,63;1.683.388,08
1.1.2.1.01.0.1.01.00.00;Taxa Licença p/ Func. Estab.Com.,Ind.e Prest.Servi;1.571,82;224,91;1.068,05;1.355,99;1.068,35;966,57;2.061,67;1.682,86;20.242,15;93.647,78;42.336,78;46.063,82;212.290,75;3.261,83;3.994,84;9.055,80;12.027,05;20.477,41;9.113,55;13.294,02;17.957,92;47.914,74;955.227,36;419.053,86;384.300,45;1.895.678,83;1.690,01;3.769,93;7.987,75;10.671,06;19.409,06;8.146,98;11.232,35;16.275,06;27.672,59;861.579,58;376.717,08;338.236,63;1.683.388,08
1.1.2.1.01.0.1.02.00.00;Taxa de Licença para Execução de Obras;1.446,10;2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.273,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;920,23;-1.446,10;-2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;-3.353,48
1.1.2.1.01.0.1.02.00.00;Taxa de Licença para Execução de Obras;1.446,10;2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.273,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;920,23;-1.446,10;-2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;-3.353,48
