Exercício;Competência;Credor;Fonte;Repasse
2023;JANEIRO;SAS;1.500.000.0000;774.354,06
2023;NOVEMBRO;SAS;1.753.000.0000;380.733,37
2023;DEZEMBRO;SAS;1.500.000.0000;575.417,60
2023;MARÇO;SAS;1.500.000.0000;282.393,20
2023;MAIO;SAS;1.500.000.0000;586.071,49
2023;JUNHO;SAS;1.500.000.0000;299.329,59
2023;SETEMBRO;SAS;1.500.000.0000;631.588,43
2023;SETEMBRO;SAS;1.753.000.0000;297.496,42
2023;JANEIRO;CÂMARA;1.500.000.0000;1.168.780,38
2023;FEVEREIRO;CÂMARA;1.500.000.0000;1.168.780,38
2023;MARÇO;CÂMARA;1.500.000.0000;1.168.780,38
2023;ABRIL;CÂMARA;1.500.000.0000;1.168.780,38
2023;MAIO;CÂMARA;1.500.000.0000;1.168.780,38
2023;JUNHO;CÂMARA;1.500.000.0000;1.168.780,38
2023;JULHO;CÂMARA;1.500.000.0000;1.168.780,38
2023;AGOSTO;CÂMARA;1.500.000.0000;1.168.780,38
2023;SETEMBRO;CÂMARA;1.500.000.0000;1.168.780,38
2023;OUTUBRO;CÂMARA;1.500.000.0000;1.168.780,38
2023;NOVEMBRO;CÂMARA;1.500.000.0000;1.168.780,38
2023;DEZEMBRO;CÂMARA;1.500.000.0000;1.168.780,38
2023;ABRIL;SIMPAS;1.500.000.0000;5.258.087,20
2023;AGOSTO;SIMPAS;1.500.000.0000;5.088.193,82
2023;DEZEMBRO;SIMPAS;1.500.000.0000;6.812.064,65
2023;FEVEREIRO;SIMPAS;1.500.000.0000;4.687.788,21
2023;JANEIRO;SIMPAS;1.500.000.0000;4.445.464,81
2023;JULHO;SIMPAS;1.500.000.0000;5.038.673,93
2023;JUNHO;SIMPAS;1.500.000.0000;4.886.466,95
2023;MAIO;SIMPAS;1.500.000.0000;4.882.184,28
2023;MARÇO;SIMPAS;1.500.000.0000;4.641.402,49
2023;NOVEMBRO;SIMPAS;1.500.000.0000;5.244.155,40
2023;OUTUBRO;SIMPAS;1.500.000.0000;8.969.712,10
2023;SETEMBRO;SIMPAS;1.500.000.0000;5.119.814,68
2023;FEVEREIRO;SIMPAS;1.501.000.0000;7.026,92
2023;MARÇO;SIMPAS;1.501.000.0000;5.289,98
